,title,video_id,video_date,video_view,video_like
0,NEOPLE - 루키 4인팟이 전하는 입사 꿀팁,YOgOfpdHkRk,2022-03-30T04:24:50Z,2481,37
1,NEOPLE - 네오플과 함께한 16년,eJ76enP5JSQ,2022-03-30T04:24:45Z,2585,76
2,[던파] 우리는... 100의 민족입니까? (메이킹 필름),dlg9e5vZpSM,2022-03-28T02:37:57Z,1863,52
3,[던파] 던.직.이(?) 감스트가 소개하는 110레벨 만렙 확장 업데이트,FkD3jqoXquA,2022-03-17T04:04:13Z,18021,380
4,[던파] 우리는... 100의 민족입니까?,HbZFryV0JQ8,2022-03-17T03:03:55Z,984382,872
5,[던파] 우리는... 100의 민족입니까? (예고편),4Ro9IPezQ-I,2022-03-17T03:03:48Z,3578817,55
6,[던파] 만렙 확장 업데이트 프로모션 영상 (30초),uCVoMNxA9s4,2022-03-17T03:03:39Z,1044527,36
7,[던파] 시즌 8. THE NEXT JOURNEY,PDdlxwhNW4w,2022-03-16T12:12:42Z,24901,237
8,던파 스토리 '진실이 닿는 곳' 3화,xz5of2UNjeg,2022-03-10T01:00:40Z,2358,24
9,던파 스토리 '진실이 닿는 곳' 2화,YN-xHlfUAek,2022-03-03T01:02:18Z,2962,29
10,던파 스토리 '진실이 닿는 곳' 1화,zCbxUsGAx2g,2022-02-24T01:01:02Z,6486,74
11,[던파] 진(眞) 스핏파이어 플레이,tMyI7NF3beQ,2022-02-10T01:01:32Z,56973,333
12,[던파] 眞 넨마스터 플레이,eDXUifK4DqY,2022-02-10T01:01:31Z,29547,154
13,[던파] 올 겨울...던파에 큰거온다!,lQDvCfCsv70,2022-01-13T01:02:29Z,1928583,2077
14,[던파] 올 겨울..던파에 큰거온다! (30초 ver.),B9n-zFwT7Hs,2022-01-13T01:02:21Z,3983776,136
15,[던파] 어썰트 & 윈터 페스티벌 프로모션 영상 (30초 ver.),KJb-cZpYf3I,2022-01-13T01:02:12Z,2256945,110
16,[던파] 진(眞) 어썰트 플레이,hdnO99AvknM,2022-01-12T07:01:47Z,53900,245
17,[던파OST] 남거너 테마곡 Nothing to lose (feat. 가호 & 케이브),YJeO6e2Ip04,2022-01-12T07:01:07Z,112232,882
18,[던파] 어썰트 애니메이션 티저,zmSd1noSWIc,2022-01-12T07:01:04Z,24290,269
19,[던파] 시즌7 Act 19. Assault : 폭격개시,3jwAqRIYP0Y,2022-01-12T07:00:59Z,30090,203
20,[던파] 디렉터가 간다! - 나무위키 읽기,WIWQrCvwZ3M,2022-01-07T03:00:22Z,135943,2099
21,[던파] DNFXHOOK 바람의 너를 Dance Ver.,a8_6KLjatIA,2021-12-30T03:30:09Z,4063712,1572
22,2021 던파페스티벌 THE NEXT THING 2부,faryCqUtBnE,2021-12-24T11:18:19Z,27198,145
23,[던파] 진(眞) 듀얼리스트,Ojo7F1QGYIk,2021-12-23T01:01:14Z,53759,288
24,[던파] 진(眞) 런처,oAYADsI6GZI,2021-12-23T01:01:12Z,127602,441
25,[던파] 진(眞) 쿠노이치,jlQP0rpp0_0,2021-12-23T01:01:10Z,76993,287
26,[던파] 진(眞) 무녀,A-tKfq8kCPM,2021-12-23T01:01:08Z,60242,247
27,[던파] 진(眞) 검귀 플레이,7cV-Z0EsfOw,2021-12-23T01:01:05Z,71566,257
28,[던파] 진(眞) 아수라 플레이,KvC3O9T6cdY,2021-12-23T01:01:02Z,105911,307
29,혹시.. 민초 좋아하세요? | DPL 2021 Winter 해설 모음,hOLziIbEMEE,2021-12-21T11:00:21Z,4682,69
30,2021 던파페스티벌 THE NEXT THING,H9bk5VvDcTM,2021-12-19T14:43:10Z,164706,949
31,남거너 신 전직 - 어썰트 플레이 영상,Cwws6w56AU4,2021-12-19T13:11:34Z,195546,911
32,마이스터의 실험실,1gdLSZI6EPc,2021-12-19T13:11:19Z,129469,575
33,성자 전쟁 플레이 영상,H8m9UxZThV8,2021-12-19T13:11:12Z,56195,204
34,노블레스 코드 플레이 영상,UiVR40G9SWw,2021-12-19T13:11:05Z,57167,189
35,파괴된 죽은 자의 성 플레이 영상,DISkSRyg6o8,2021-12-19T13:10:57Z,48051,169
36,이터널 플레임 연구소 플레이 영상,9coUMEUllGs,2021-12-19T13:10:51Z,31453,109
37,던전앤라이프,-XnGaFpZtOQ,2021-12-19T13:10:45Z,20797,113
38,폭룡왕이 다시 돌아온다,ZBCKVJbhInk,2021-12-19T13:10:38Z,55341,256
39,어썰트 오디오북 - 마지막 잠,eDHH-lSj8Do,2021-12-19T13:10:31Z,15440,93
40,최후의 승자 | 결승전 TOP 5 | DPL 2021 Winter HIGHLIGHT,Om98ho32iWo,2021-12-15T11:00:24Z,4007,35
