,user_id,server,date,comment,title
0,알록달록산골, 힐더,2022.02.16 (17:51),강이 만든 모든게 거의 십중팔구가 적폐라 손보는건 올바른 행동 아님?,던전앤파이터 개발 방향성에 대해 말씀드립니다.
1,알록달록산골, 힐더,2022.02.16 (17:53),게임이 강레기가 디렉터일땐 죄다 운빨이라 게임이 카지노마냥 미쳐 돌아갔던데,던전앤파이터 개발 방향성에 대해 말씀드립니다.
2,방춘화, 프레이,2022.02.16 (18:00),작년7-8월부터 이번년도 3월까지 보여줄게 계귀패치 패키지 확률 올린거 말고 없단 소리임 입은 거창하게 털어대는데 정작 앞으로의 운영에 대한 구체적인 방향성이 전혀 없었다 이말임운빨컨텐츠 계귀로 패치하고 확률 올리는게 작년7-8월부터 이번년도 3월까지 없뎃할정도로 버텨달라 기다려달라 하는거가 맞는소리라고 생각함?그렇게 생각한다면 님 말이 맞음,던전앤파이터 개발 방향성에 대해 말씀드립니다.
3,알록달록산골, 힐더,2022.02.16 (18:19),근데 솔직히 님 말씀도 맞는게 지금 할거 없는건 맞긴 함 띵진 오고 난 후나 지금이나 할게 아예 없는데 3월까지 지루해서 못버티겟음 버티는것도 한계에 슬슬 도달할삘이,던전앤파이터 개발 방향성에 대해 말씀드립니다.
4,알록달록산골, 힐더,2022.02.16 (18:34),진이계 왜 '이계를 아는자' 여격 APC가 안나오죠? 버그인가요?,던전앤파이터 개발 방향성에 대해 말씀드립니다.
5,레트로그플, 바칼,2022.02.16 (18:49),"디렉터님 고생 많으시고, 모든 직업의 밸런스를 맞추긴 힘들겠지만 차근차근 해나가는 모습 좋습니다. 다만, 너무 과거의 영광에 매몰되지 않고 취할건 취하고 유지할건 유지 하셨으면 더 바랄게 없네요. 지속적인 패치도 수반되어야 할것이고요. 그리고 가장 중요한 윤디 칼리고 아바타 재판매 제발 !!!!! 부탁드립니다.",던전앤파이터 개발 방향성에 대해 말씀드립니다.
6,냄새싫어, 힐더,2022.02.16 (19:18),전 재밌어요 :) 이리저리 휘둘리는것보다 자신의생각을 밀고 나가는게 개발진이라 생각합니다.,던전앤파이터 개발 방향성에 대해 말씀드립니다.
7,라인향, 힐더,2022.02.16 (19:19),이계던전 진짜 왜만든건지 잘 모르겠습니다,던전앤파이터 개발 방향성에 대해 말씀드립니다.
8,사룡의기사, 프레이,2022.02.16 (22:10),"띵진이가 잘못 생각하는 거 정리.
1. 스킬드리 등의 교복화 이 사람은 던파의 직업 몇 개인지 까먹고 있는것 같다. 캐릭 1개만 키우는 사람이 있는게 아니라 대부분 여러캐릭을 키울텐데 스킬트리가 단조로워서 재미없다? 이 상활 절대 안나옴
2. 만크 맞추기 아니 과거에 크리 50퍼 맞추고 샤프아이 빨던 때 생각을 가지고 지금 오면 어떻게 함.. 만크가 맞추기 쉬운 캐릭 아닌 캐릭 지금도 있는건 맞는데 이걸로 의외성을 주면 밸런스 개판나는거임
3. 이건 혹시나 해서 말하는 건데. 요즘 내용 보면 간혹 옛날 처럼 만랩장비가 아닌 전 장비 섞어쓰던 때로 되돌리라는 거 같은 느낌이 들어서 그런데 제발 그짓은 하지마라 제발... 이계건 고던이건 재활용 ♡♥♥♡... 장비던 던전이던 부활 시키지 좀 말았으면.. 그리고 장비에 하이리스크 하이리턴 극대화좀 시키지 말았으면.. 105장비 보니까 그렇게 할라는 거 같은데 예시로 딜 개쌘 대신 10초에 2초 굳으면 빡쳐서 깨임 할 맛 안남
4. 난이도 혹시 나이도 어려움 = 재미있음 이라고 생각하는거 아니지? 고던이던 이계전 그때 처럼 던전 운영할꺼면 그냥 강정호 돌려줘 씨X 액션 앤 쾌감은 몹들 한번에 정리될때 액션이든 쾌감이든 느끼니까 이상하게 좀 만들지 말았으면...",던전앤파이터 개발 방향성에 대해 말씀드립니다.
9,마토!, 카인,2022.02.16 (22:33),내가 겜접기전에 우럭붐은 볼수있는거냐무슨 던옾 100억이상이 16명이냐..,던전앤파이터 개발 방향성에 대해 말씀드립니다.
