,weapon,job,weapon_name,weapon_ratio,weapon_count,weapon_percent,new_name
0,"근원을 삼킨 광검
6,269 (12.154%)",검신,근원을 삼킨 광검,"6,269 (12.154%)",6269,(12.154%),근원 무기
1,"결전의 광검 - 웨펀마스터
2,354 (4.564%)",검신,결전의 광검 - 웨펀마스터,"2,354 (4.564%)",2354,(4.564%),결전 무기
2,"결전의 도 - 소울브링어
3,522 (8.984%)",다크로드,결전의 도 - 소울브링어,"3,522 (8.984%)",3522,(8.984%),결전 무기
3,"근원을 삼킨 도
1,552 (3.959%)",다크로드,근원을 삼킨 도,"1,552 (3.959%)",1552,(3.959%),근원 무기
4,"결전의 소검 - 소울브링어
364 (0.929%)",다크로드,결전의 소검 - 소울브링어,364 (0.929%),364,(0.929%),결전 무기
5,"결전의 도 - 버서커
4,117 (7.816%)",블러드 이블,결전의 도 - 버서커,"4,117 (7.816%)",4117,(7.816%),결전 무기
6,"근원을 삼킨 도
3,007 (5.709%)",블러드 이블,근원을 삼킨 도,"3,007 (5.709%)",3007,(5.709%),근원 무기
7,"결전의 둔기 - 버서커
709 (1.346%)",블러드 이블,결전의 둔기 - 버서커,709 (1.346%),709,(1.346%),결전 무기
8,"근원을 삼킨 대검
596 (1.131%)",블러드 이블,근원을 삼킨 대검,596 (1.131%),596,(1.131%),근원 무기
9,"근원을 삼킨 둔기
559 (1.061%)",블러드 이블,근원을 삼킨 둔기,559 (1.061%),559,(1.061%),근원 무기
10,"근원을 삼킨 도
7,399 (13.223%)",인다라천,근원을 삼킨 도,"7,399 (13.223%)",7399,(13.223%),근원 무기
11,"결전의 도 - 아수라
2,424 (4.332%)",인다라천,결전의 도 - 아수라,"2,424 (4.332%)",2424,(4.332%),결전 무기
12,"근원을 삼킨 소검
820 (1.465%)",인다라천,근원을 삼킨 소검,820 (1.465%),820,(1.465%),근원 무기
13,"근원을 삼킨 도
4,698 (6.129%)",악귀나찰,근원을 삼킨 도,"4,698 (6.129%)",4698,(6.129%),근원 무기
14,"결전의 도 - 검귀
3,817 (4.980%)",악귀나찰,결전의 도 - 검귀,"3,817 (4.980%)",3817,(4.980%),결전 무기
15,"근원을 삼킨 도
17,313 (20.060%)",벤데타,근원을 삼킨 도,"17,313 (20.060%)",17313,(20.060%),근원 무기
16,"결전의 도 - 블레이드
7,377 (8.547%)",벤데타,결전의 도 - 블레이드,"7,377 (8.547%)",7377,(8.547%),결전 무기
17,"근원을 삼킨 소검
2,786 (6.674%)",네메시스,근원을 삼킨 소검,"2,786 (6.674%)",2786,(6.674%),근원 무기
18,"결전의 소검 - 다크템플러
895 (2.144%)",네메시스,결전의 소검 - 다크템플러,895 (2.144%),895,(2.144%),결전 무기
19,"근원을 삼킨 도
764 (1.830%)",네메시스,근원을 삼킨 도,764 (1.830%),764,(1.830%),근원 무기
20,"결전의 도 - 다크템플러
554 (1.327%)",네메시스,결전의 도 - 다크템플러,554 (1.327%),554,(1.327%),결전 무기
21,"근원을 삼킨 광검
5,550 (8.004%)",검제,근원을 삼킨 광검,"5,550 (8.004%)",5550,(8.004%),근원 무기
22,"결전의 광검 - 베가본드
4,711 (6.794%)",검제,결전의 광검 - 베가본드,"4,711 (6.794%)",4711,(6.794%),결전 무기
23,"결전의 대검 - 데몬슬레이어
4,166 (11.482%)",디어사이드,결전의 대검 - 데몬슬레이어,"4,166 (11.482%)",4166,(11.482%),결전 무기
24,"근원을 삼킨 대검
2,162 (5.959%)",디어사이드,근원을 삼킨 대검,"2,162 (5.959%)",2162,(5.959%),근원 무기
25,"근원을 삼킨 대검
3,927 (7.784%)",마제스티,근원을 삼킨 대검,"3,927 (7.784%)",3927,(7.784%),근원 무기
26,"결전의 대검 - 소드마스터
1,663 (3.296%)",마제스티,결전의 대검 - 소드마스터,"1,663 (3.296%)",1663,(3.296%),결전 무기
27,"근원을 삼킨 소검
1,337 (2.650%)",마제스티,근원을 삼킨 소검,"1,337 (2.650%)",1337,(2.650%),근원 무기
28,"결전의 권투글러브 - 스트라이커(남)
1,248 (9.107%)",패황,결전의 권투글러브 - 스트라이커(남),"1,248 (9.107%)",1248,(9.107%),결전 무기
29,"근원을 삼킨 권투글러브
632 (4.612%)",패황,근원을 삼킨 권투글러브,632 (4.612%),632,(4.612%),근원 무기
30,"결전의 클로 - 스트리트파이터(남)
735 (9.346%)",명왕,결전의 클로 - 스트리트파이터(남),735 (9.346%),735,(9.346%),결전 무기
31,"근원을 삼킨 클로
340 (4.323%)",명왕,근원을 삼킨 클로,340 (4.323%),340,(4.323%),근원 무기
32,"결전의 건틀릿 - 그래플러(남)
780 (9.381%)",그랜드 마스터,결전의 건틀릿 - 그래플러(남),780 (9.381%),780,(9.381%),결전 무기
33,"근원을 삼킨 건틀릿
389 (4.678%)",그랜드 마스터,근원을 삼킨 건틀릿,389 (4.678%),389,(4.678%),근원 무기
34,"근원을 삼킨 너클
1,657 (7.393%)",염황 광풍제월,근원을 삼킨 너클,"1,657 (7.393%)",1657,(7.393%),근원 무기
35,"결전의 너클 - 넨마스터(남)
1,315 (5.867%)",염황 광풍제월,결전의 너클 - 넨마스터(남),"1,315 (5.867%)",1315,(5.867%),결전 무기
36,"근원을 삼킨 너클
7,070 (11.088%)",염제 폐월수화,근원을 삼킨 너클,"7,070 (11.088%)",7070,(11.088%),근원 무기
37,"결전의 너클 - 넨마스터(여)
4,695 (7.363%)",염제 폐월수화,결전의 너클 - 넨마스터(여),"4,695 (7.363%)",4695,(7.363%),결전 무기
38,"결전의 권투글러브 - 스트라이커(여)
3,138 (15.347%)",카이저,결전의 권투글러브 - 스트라이커(여),"3,138 (15.347%)",3138,(15.347%),결전 무기
39,"근원을 삼킨 권투글러브
1,363 (6.666%)",카이저,근원을 삼킨 권투글러브,"1,363 (6.666%)",1363,(6.666%),근원 무기
40,"결전의 클로 - 스트리트파이터(여)
1,891 (10.851%)",용독문주,결전의 클로 - 스트리트파이터(여),"1,891 (10.851%)",1891,(10.851%),결전 무기
41,"근원을 삼킨 클로
785 (4.505%)",용독문주,근원을 삼킨 클로,785 (4.505%),785,(4.505%),근원 무기
42,"근원을 삼킨 통파
1,048 (6.109%)",얼티밋 디바,근원을 삼킨 통파,"1,048 (6.109%)",1048,(6.109%),근원 무기
43,"근원을 삼킨 클로
329 (1.918%)",얼티밋 디바,근원을 삼킨 클로,329 (1.918%),329,(1.918%),근원 무기
44,"근원을 삼킨 건틀릿
308 (1.795%)",얼티밋 디바,근원을 삼킨 건틀릿,308 (1.795%),308,(1.795%),근원 무기
